k,chain,fleet,pool_fleet_bound,optimal_scope,cg_wall_s,mip_wall_s,physical_replay_validated,overcovered_trips,source,sha256
2,1,2,2.0,full_pool_lexicographic,533.5356397556607,2.920198516920209,True,1,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k02_p1_cover_event_2p5_event5/default1h_a02/result.json,771d890a4f66a1f12f9337c6ea118aee881d1c67202917903373e3268461d0b0
2,2,2,2.0,full_pool_lexicographic,14.249924905365333,0.29040846484713256,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k02_p2_cover_event_2p5_event5/default1h_a02/result.json,c65aa7a6df1855f1560799f456941d3f04d8338efbc760d0225ebd46d6b7b295
2,3,2,2.0,full_pool_lexicographic,109.72899282199796,0.43443371797911823,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k02_p3_cover_event_2p5_event5/default1h_a02/result.json,b7007a6af77f9afc23c0b5c8796d9a9cae5177ae0309177970de02de5bd44788
2,4,2,2.0,full_pool_lexicographic,79.9176662878599,0.33954564994201064,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k02_p4_cover_event_2p5_event5/default1h_a02/result.json,9e036d3f71b739672ba56248e8489ac83187b24fc287ae5c5a0883e0d1034a1b
2,5,3,3.0,full_pool_lexicographic,89.93990627955645,0.38460983987897635,True,2,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k02_p5_cover_event_2p5_event5/default1h_a02/result.json,6ef58b4af2f1602ec3f205584c2e9c817bc85ab97bc5d65aef2a3591a51d9dfc
2,6,2,2.0,full_pool_lexicographic,31.573068871628493,0.12846338003873825,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k02_p6_cover_event_2p5_event5/default1h_a02/result.json,6bb75933863e19d0bd2846f5e39606d71d919bbc61a7e2256df30711a0bd4d8d
3,1,3,3.0,full_pool_lexicographic,1031.3060250172857,4.915728570893407,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k03_p1_cover_event_2p5_event5/default1h_a02/result.json,23574bf54a3f913651e11256ecc3482e34ade5550f9a7347ac26aa9d4f81109b
3,2,3,3.0,full_pool_lexicographic,129.86529043246992,0.8248740611597896,True,1,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k03_p2_cover_event_2p5_event5/default1h_a02/result.json,1239044a73fef3f7b7c014ae9cba0997a45feebd728c4a3a4311ac89503b511b
3,3,3,3.0,full_pool_lexicographic,116.33174140844494,0.8484974829480052,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k03_p3_cover_event_2p5_event5/default1h_a02/result.json,df58a796fec22e0772884a0b7ef0b7aac1cb90ab544b7f16fa9a757844575b61
3,4,3,3.0,full_pool_lexicographic,131.41832368122414,0.4122110770549625,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k03_p4_cover_event_2p5_event5/default1h_a02/result.json,bfc3c70baa7745542f2a12e516fdf17e3f59c6efaa4f07c8ec0e793037a4bd34
3,5,3,3.0,full_pool_lexicographic,485.98617933061905,1.1387428371235728,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k03_p5_cover_event_2p5_event5/default1h_a02/result.json,c779813506aac7477a262ff58ebd7d5b2a5b796d70a6b7a2416aec1f35ac1239
3,6,3,3.0,full_pool_lexicographic,152.79676249204203,0.2649536340031773,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k03_p6_cover_event_2p5_event5/default1h_a02/result.json,d61d75a00a93398528d68b4dd748321ccd653a9b4f2e1d6d0afaf6a2adf79d6c
4,1,4,4.0,full_pool_lexicographic,2696.629493810935,5.886528102913871,True,1,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k04_p1_cover_event_2p5_event5/default1h_a02/result.json,b582300fbd484b4ed957531a60993e81af0dfc4db106035f8d08ff7a6224ac95
4,2,4,4.0,full_pool_lexicographic,278.1838570164982,0.9962262089829892,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k04_p2_cover_event_2p5_event5/default1h_a02/result.json,e90bd832a0a7dcd3693a0c2e2d42485b6be098a277b37a4e89f9e87389627b2a
4,3,4,4.0,full_pool_lexicographic,255.6318786451593,7.903905168874189,True,4,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k04_p3_cover_event_2p5_event5/default1h_a02/result.json,99c92607c1c621f84539054b6b76585f80b7d52d12599da6eb09f8570287a5fe
4,4,4,4.0,full_pool_lexicographic,490.142834126018,5.147193965036422,True,3,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k04_p4_cover_event_2p5_event5/default1h_a02/result.json,5b89e493caf26a2a05befc67f08378857001d604df199e82c63fc768afd68cae
4,5,4,4.0,full_pool_lexicographic,717.4287026369711,6.855839303927496,True,4,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k04_p5_cover_event_2p5_event5/default1h_a02/result.json,4d333071611d5322d32956a45b370d9297e918238d11a81a2be36873eab3fed0
4,6,4,4.0,full_pool_lexicographic,318.3987365690991,1.21698058093898,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k04_p6_cover_event_2p5_event5/default1h_a02/result.json,c61c24114a601920f8a0229fbb28e736d302a7a80999674c78c1a5cf14bc4749
5,1,5,5.0,full_pool_lexicographic,1833.64072915609,2.4181367461569607,True,0,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k05_p1__cover__event_2p5_event5__1h2stage.json,eb0981b01267752f829186f5278404c8974858944a5ff4a373c11b43c72f9902
