arm,position,internal_trip_id,source_trip_id,original_trip_duty,route_code,direction,from_code,to_code,start_min,end_min,scheduled_service_duration_min,service_energy_kwh,source,source_line,basis
saved_joint_fee5,1,14,36,13414,5021.0,1.0,2190,4808,480,539,59,41.7299995,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260917/route_explainer/inputs/k05.csv,16,"scheduled passenger service, NOT deadhead travel time"
saved_joint_fee5,2,18,49,13414,5021.0,2.0,4808,2190,546,602,56,42.5,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260917/route_explainer/inputs/k05.csv,20,"scheduled passenger service, NOT deadhead travel time"
saved_joint_fee5,3,24,68,13414,5021.0,1.0,2190,4808,640,697,57,41.7299995,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260917/route_explainer/inputs/k05.csv,26,"scheduled passenger service, NOT deadhead travel time"
saved_joint_fee5,4,29,81,13414,5021.0,2.0,4808,2190,704,759,55,42.5,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260917/route_explainer/inputs/k05.csv,31,"scheduled passenger service, NOT deadhead travel time"
saved_joint_fee5,5,35,100,13414,5021.0,1.0,2190,4808,800,859,59,41.7299995,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260917/route_explainer/inputs/k05.csv,37,"scheduled passenger service, NOT deadhead travel time"
saved_joint_fee5,6,39,113,13414,5021.0,2.0,4808,2190,866,922,56,42.5,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260917/route_explainer/inputs/k05.csv,41,"scheduled passenger service, NOT deadhead travel time"
saved_joint_fee5,7,44,126,13414,5021.0,1.0,2190,4808,929,992,63,41.7299995,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260917/route_explainer/inputs/k05.csv,46,"scheduled passenger service, NOT deadhead travel time"
saved_joint_fee5,8,49,139,13414,5021.0,2.0,4808,2190,998,1057,59,42.5,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260917/route_explainer/inputs/k05.csv,51,"scheduled passenger service, NOT deadhead travel time"
saved_joint_fee5,9,54,154,13414,5021.0,1.0,2190,4808,1071,1128,57,41.7299995,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260917/route_explainer/inputs/k05.csv,56,"scheduled passenger service, NOT deadhead travel time"
saved_joint_fee5,10,58,165,13414,5021.0,2.0,4808,2190,1136,1189,53,42.5,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260917/route_explainer/inputs/k05.csv,60,"scheduled passenger service, NOT deadhead travel time"
saved_joint_fee5,11,60,178,13414,5021.0,1.0,2190,4808,1235,1290,55,41.7299995,/Users/nadan/Documents/projects/demandresponse/outputs/meeting_20260917/route_explainer/inputs/k05.csv,62,"scheduled passenger service, NOT deadhead travel time"
