VehicleTask,From,Start,End,To,Duration,Distance,Garage,Identifier,Route,Direction,From1,Refer.,Start1,End1,To1,Refer.1,Duration1,Lay,SOC before,Recharge kWh,Distance1,Usage kWh,SOC after,count_trip_id,Ordered_Trip_ID
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5510.0,1.0,3127,,7:22,7:36,13215,,0.14,0.04,90.3828278,,9.735,19.4699993,82.2367249,,240
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5510.0,2.0,HED_D,3127.0,16:15,16:47,PC_10,13215.0,0.32,0.0,63.8642654,,10.664,21.3279991,54.9407883,,309
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5510.0,1.0,PC_10,13215.0,17:27,18:01,HED_E,3127.0,0.34,0.0,57.4243469,,11.168,22.3409996,48.0770416,,326
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5510.0,2.0,HED_D,3127.0,18:17,18:47,PC_10,13215.0,0.3,0.0,74.7444077,,10.664,21.3279991,65.8209305,,331
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5513.0,1.0,PC_5,13215.0,6:47,7:19,HED_E,3127.0,0.32,0.03,98.8284988,,10.088,20.1809998,90.3849182,,370
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5513.0,1.0,PC_5,13215.0,7:57,8:30,HED_E,3127.0,0.33,0.0,77.9547653,,10.088,20.1809998,69.5111847,,381
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5513.0,2.0,HED_D,3127.0,8:32,8:57,PC_5,13215.0,0.25,0.13,69.4693375,,9.931,19.8619995,61.1592293,,386
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5515.0,1.0,PC_7,13215.0,9:10,9:34,GMV_G,7581.0,0.24,0.0,61.1501617,,9.319,18.6380005,53.3521576,,598
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5515.0,2.0,GMV_H,7581.0,9:42,10:07,PC_7,13215.0,0.25,0.03,53.1387787,,9.153,18.3059998,45.4796867,,601
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5515.0,1.0,PC_7,13215.0,10:10,10:34,GMV_G,7581.0,0.24,0.0,45.4775963,,9.319,18.6380005,37.6795959,,604
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5515.0,2.0,GMV_H,7581.0,10:42,11:07,PC_7,13215.0,0.25,0.0,37.4662132,,9.153,18.3059998,29.8071213,,607
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5519.0,2.0,PC_9,13215.0,7:40,7:45,13722,,0.05,0.02,82.2339325,,2.59,5.17999983,80.0666656,,895
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5519.0,1.0,13722,,7:47,7:52,PC_9,13215.0,0.05,0.05,80.0652695,,2.518,5.03599977,77.958252,,896
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5519.0,2.0,PC_9,13215.0,16:47,17:04,JON_B,13410.0,0.17,0.01,54.9407883,,6.191,12.3870001,49.7581596,,949
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5519.0,1.0,JON_A,13410.0,17:13,17:27,PC_9,13215.0,0.14,0.0,62.58815,,6.171,12.342,57.4243469,,953
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5519.0,2.0,PC_9,13215.0,18:47,19:02,JON_B,13410.0,0.15,0.0,65.8209305,,6.191,12.3870001,60.6383018,,962
