VehicleTask,From,Start,End,To,Duration,Distance,Garage,Identifier,Route,Direction,From1,Refer.,Start1,End1,To1,Refer.1,Duration1,Lay,SOC before,Recharge kWh,Distance1,Usage kWh,SOC after,count_trip_id,Ordered_Trip_ID
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5517.0,1.0,13329,,5:17,5:27,PC_3,13215.0,0.1,0.0,96.8202133,,4.645,9.28999996,92.9333496,0,685.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5518.0,2.0,PC_7,13215.0,5:27,5:44,JON_B,13410.0,0.17,0.0,92.9333496,,5.137,10.2790003,88.6326904,1,771.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5514.0,1.0,PC_6,13215.0,5:27,5:52,ÖS_J,7880.0,0.25,0.0,98.8284988,,8.581,17.1669998,91.6459579,2,489.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5518.0,1.0,JON_A,13410.0,5:45,5:57,PC_7,13215.0,0.12,0.0,88.5490112,,5.133,10.2659998,84.2537918,3,772.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5515.0,1.0,PC_7,13215.0,5:45,6:06,GMV_G,7581.0,0.21,0.0,98.8284988,,9.319,18.6380005,91.0304947,4,574.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5513.0,1.0,PC_5,13215.0,5:57,6:27,HED_E,3127.0,0.3,0.0,84.2537918,,10.088,20.1809998,75.8102112,5,365.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,6:04,6:27,PC_6,13215.0,0.23,0.0,91.6208572,,8.205,16.4099998,84.7550354,6,492.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5519.0,1.0,JON_A,13410.0,6:13,6:27,PC_9,13215.0,0.14,0.03,94.644577,,6.171,12.342,89.4807739,7,886.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5515.0,2.0,GMV_H,7581.0,6:23,6:47,PC_7,13215.0,0.24,0.0,90.8108444,,9.153,18.3059998,83.1517487,8,577.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5519.0,2.0,PC_9,13215.0,6:27,6:42,JON_B,13410.0,0.15,0.03,84.7550354,,6.191,12.3870001,79.5724106,9,887.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5515.0,1.0,PC_7,13215.0,6:30,6:54,GMV_G,7581.0,0.24,0.0,89.4786835,,9.319,18.6380005,81.6806793,10,579.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5513.0,2.0,HED_D,3127.0,6:33,6:57,PC_5,13215.0,0.24,0.0,81.0450897,,9.931,19.8619995,72.7349854,11,368.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5513.0,1.0,PC_5,13215.0,6:47,7:19,HED_E,3127.0,0.32,0.03,98.8284988,,10.088,20.1809998,90.3849182,12,370.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5519.0,1.0,JON_A,13410.0,6:53,7:07,PC_9,13215.0,0.14,0.0,86.2521744,,6.171,12.342,81.0883789,13,890.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5501.0,1.0,13421,,6:55,7:13,6480,,0.18,0.0,78.716095,,10.809,21.618,69.6712875,14,204.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5514.0,1.0,PC_6,13215.0,6:57,7:24,ÖS_J,7880.0,0.27,0.0,72.7349854,,8.581,17.1669998,65.5524368,15,495.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5515.0,2.0,GMV_H,7581.0,7:00,7:27,PC_7,13215.0,0.27,0.0,81.4686966,,9.153,18.3059998,73.8096008,16,583.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5513.0,1.0,PC_5,13215.0,7:07,7:39,HED_E,3127.0,0.32,0.0,81.0883789,,10.088,20.1809998,72.6447983,17,373.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5510.0,1.0,PC_10,13215.0,7:17,7:54,HED_E,3127.0,0.37,0.0,98.8284988,,11.168,22.3409996,89.4811935,18,238.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5510.0,1.0,3127,,7:22,7:36,13215,,0.14,0.04,90.3828278,,9.735,19.4699993,82.2367249,19,240.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5510.0,1.0,PC_10,13215.0,7:27,8:04,HED_E,3127.0,0.37,0.0,73.8096008,,11.168,22.3409996,64.4622955,20,242.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5519.0,1.0,JON_A,13410.0,7:33,7:47,PC_9,13215.0,0.14,0.0,67.7608109,,6.171,12.342,62.5970116,21,894.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,7:34,7:57,PC_6,13215.0,0.23,0.0,81.7581024,,8.205,16.4099998,74.8922806,22,498.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5519.0,2.0,PC_9,13215.0,7:40,7:45,13722,,0.05,0.02,82.2339325,,2.59,5.17999983,80.0666656,23,895.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5513.0,1.0,PC_5,13215.0,7:47,8:20,HED_E,3127.0,0.33,0.0,62.5970116,,10.088,20.1809998,54.1534309,24,379.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5519.0,1.0,13722,,7:47,7:52,PC_9,13215.0,0.05,0.05,80.0652695,,2.518,5.03599977,77.958252,25,896.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5513.0,2.0,HED_D,3127.0,7:50,8:17,PC_5,13215.0,0.27,0.0,84.5229187,,9.931,19.8619995,76.2128143,26,380.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5513.0,1.0,PC_5,13215.0,7:57,8:30,HED_E,3127.0,0.33,0.0,77.9547653,,10.088,20.1809998,69.5111847,27,381.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5510.0,2.0,HED_D,3127.0,7:57,8:27,PC_10,13215.0,0.3,0.03,89.438652,,10.664,21.3279991,80.5151749,28,249.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5510.0,1.0,PC_10,13215.0,7:57,8:34,HED_E,3127.0,0.37,0.0,74.8922806,,11.168,22.3409996,65.5449753,29,248.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5501.0,1.0,13421,,8:25,8:43,6480,,0.18,0.0,71.777153,,10.809,21.618,62.7323456,30,207.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5515.0,1.0,PC_7,13215.0,8:30,8:54,GMV_G,7581.0,0.24,0.0,80.5130844,,9.319,18.6380005,72.7150803,31,592.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5513.0,2.0,HED_D,3127.0,8:32,8:57,PC_5,13215.0,0.25,0.13,69.4693375,,9.931,19.8619995,61.1592293,32,386.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5515.0,2.0,GMV_H,7581.0,9:02,9:27,PC_7,13215.0,0.25,0.0,72.5017014,,9.153,18.3059998,64.8426132,33,596.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5515.0,1.0,PC_7,13215.0,9:10,9:34,GMV_G,7581.0,0.24,0.0,61.1501617,,9.319,18.6380005,53.3521576,34,598.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5514.0,1.0,PC_6,13215.0,9:27,9:53,ÖS_J,7880.0,0.26,0.0,64.8426132,,8.581,17.1669998,57.6600685,35,505.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5515.0,2.0,GMV_H,7581.0,9:42,10:07,PC_7,13215.0,0.25,0.03,53.1387787,,9.153,18.3059998,45.4796867,36,601.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,10:05,10:27,PC_6,13215.0,0.22,0.0,79.5610733,,8.205,16.4099998,72.6952515,37,509.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5515.0,1.0,PC_7,13215.0,10:10,10:34,GMV_G,7581.0,0.24,0.0,45.4775963,,9.319,18.6380005,37.6795959,38,604.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5517.0,2.0,PC_3,13215.0,10:27,10:43,13329,,0.16,0.02,72.6952515,,4.783,9.5710001,68.6908188,39,706.0
13320,PARX,6:35,19:16,PARX,9.53,153.249,PARX,Regular,5515.0,2.0,GMV_H,7581.0,10:42,11:07,PC_7,13215.0,0.25,0.0,37.4662132,,9.153,18.3059998,29.8071213,40,607.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5517.0,1.0,13329,,10:45,10:57,PC_3,13215.0,0.12,0.0,68.6894226,,4.645,9.28999996,64.8025665,41,708.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5514.0,1.0,PC_6,13215.0,10:57,11:23,ÖS_J,7880.0,0.26,0.0,64.8025665,,8.581,17.1669998,57.6200142,42,513.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5515.0,1.0,PC_7,13215.0,11:10,11:34,GMV_G,7581.0,0.24,0.0,96.4274826,,9.319,18.6380005,88.6294785,43,611.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,11:35,11:57,PC_6,13215.0,0.22,0.0,79.5249023,,8.205,16.4099998,72.6590805,44,517.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5515.0,2.0,GMV_H,7581.0,11:42,12:07,PC_7,13215.0,0.25,0.03,88.4160995,,9.153,18.3059998,80.7570114,45,615.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5513.0,1.0,PC_5,13215.0,11:57,12:28,HED_E,3127.0,0.31,0.0,72.6590805,,10.088,20.1809998,64.2154999,46,407.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5515.0,1.0,PC_7,13215.0,12:10,12:34,GMV_G,7581.0,0.24,0.0,80.7549133,,9.319,18.6380005,72.9569168,47,619.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5513.0,2.0,HED_D,3127.0,12:32,12:57,PC_5,13215.0,0.25,0.0,64.1722717,,9.931,19.8619995,55.8621521,48,411.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5515.0,2.0,GMV_H,7581.0,12:42,13:07,PC_7,13215.0,0.25,0.0,72.7435379,,9.153,18.3059998,65.0844421,49,623.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5513.0,1.0,PC_5,13215.0,12:57,13:28,HED_E,3127.0,0.31,0.0,98.8284988,,10.088,20.1809998,90.3849182,50,415.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5510.0,1.0,PC_10,13215.0,13:07,13:42,HED_E,3127.0,0.35,0.0,65.0844421,,11.168,22.3409996,55.737133,51,275.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5513.0,2.0,HED_D,3127.0,13:30,13:57,PC_5,13215.0,0.27,0.0,90.3430786,,9.931,19.8619995,82.0329666,52,418.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5510.0,2.0,HED_D,3127.0,13:56,14:27,PC_10,13215.0,0.31,0.0,77.8259888,,10.664,21.3279991,68.9025116,53,281.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5517.0,2.0,PC_3,13215.0,13:57,14:13,13329,,0.16,0.02,82.0329666,,4.783,9.5710001,78.0285263,54,722.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5517.0,1.0,13329,,14:15,14:27,PC_3,13215.0,0.12,0.0,78.0271378,,4.645,9.28999996,74.140274,55,723.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5514.0,1.0,PC_6,13215.0,14:27,14:54,ÖS_J,7880.0,0.27,0.0,74.140274,,8.581,17.1669998,66.9577332,56,529.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5519.0,2.0,PC_9,13215.0,14:27,14:44,JON_B,13410.0,0.17,0.01,68.9025116,,6.191,12.3870001,63.7198868,57,933.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5510.0,2.0,13215,,14:42,14:59,3127,,0.17,0.01,74.4387817,,10.033,20.066,66.0433197,58,286.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5519.0,1.0,JON_A,13410.0,14:53,15:07,PC_9,13215.0,0.14,0.0,75.7271805,,6.171,12.342,70.563385,59,937.0
13311,PARX,5:15,18:59,PARX,11.59,160.541,PARX,Regular,5513.0,1.0,PC_5,13215.0,14:57,15:28,HED_E,3127.0,0.31,0.0,98.8284912,,10.088,20.1809998,90.3849106,60,427.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5513.0,2.0,HED_D,3127.0,15:00,15:27,PC_5,13215.0,0.27,0.0,66.0426178,,9.931,19.8619995,57.7325096,61,428.0
13314,PARX,5:33,18:15,PARX,11.57,183.165,PARX,Regular,5514.0,2.0,ÖS_H,7880.0,15:04,15:27,PC_6,13215.0,0.23,0.0,66.9340286,,8.205,16.4099998,60.0682068,62,532.0
13316uwt,PARX,5:55,19:09,PARX,12.19,206.816,PARX,Regular,5510.0,1.0,PC_10,13215.0,15:07,15:43,HED_E,3127.0,0.36,0.0,70.563385,,11.168,22.3409996,61.2160759,63,294.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5510.0,2.0,13215,,15:07,15:24,3127,,0.17,0.01,98.8284912,,10.033,20.066,90.4330292,64,292.0
13307,PARX,5:02,18:13,PARX,10.16,153.33,PARX,Regular,5510.0,2.0,HED_D,3127.0,15:25,15:57,PC_10,13215.0,0.32,0.0,90.4323349,,10.664,21.3279991,81.5088577,65,296.0
13324muw,PARX,7:05,17:24,PARX,9.44,173.842,PARX,Regular,5510.0,1.0,PC_10,13215.0,15:27,16:03,HED_E,3127.0,0.36,0.0,57.7325096,,11.168,22.3409996,48.3852005,66,298.0
