algorithm_family,implementation,treatment,scale_family,scale,size_class,comparison_group,model_difference,required_evidence,minimum_replicates,trajectory_replicates,endpoint_replicates,mip_checkpoint_replicates,mip_final_replicates,verified_trip_sets,replicate_semantics,coverage_status,availability_reason,rerun_required,additional_replicates,recommended_budget_s,selected_trip_set_sha256,existing_replicate_ids,proposed_replicate_ids,recommended_stopping_rule,common_model_assumptions,dry_run_only,command_available,command_blocked_reason,command_argv_json
heuristic_dp_historical,legacy_dp,,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot,True,3,7200,,,new-replicate-1 | new-replicate-2 | new-replicate-3,active-time budget plus declared marginal-return/label-cap rules; restricted-pricing certification labeled separately,"300 kWh, 300 kW, zero reserve, 15 kWh SOC grid, 10-minute blocks, flat tariff where supported; any pricing-graph/model difference remains an isolated method factor",True,False,historical implementation/model is not available,"[""UNAVAILABLE"",""historical implementation/model must be isolated or archived""]"
heuristic_dp_current,instrumented_dp,,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot,True,3,7200,,,new-replicate-1 | new-replicate-2 | new-replicate-3,active-time budget plus declared marginal-return/label-cap rules; restricted-pricing certification labeled separately,"300 kWh, 300 kW, zero reserve, 15 kWh SOC grid, 10-minute blocks, flat tariff where supported; any pricing-graph/model difference remains an isolated method factor",True,False,resolve declared queue/dominance and hash-bound paths,"[""python"",""-u"",""src/run_ex_unicorn.py"",""--csv"",""<hash-bound-instance.csv>"",""--G"",""300"",""--prices_csv"",""hourly_prices_flat.csv"",""--queue_order"",""<declared>"",""--dominance_mode"",""<declared>"",""--active_time_limit_hours"",""2"",""--skip_final_mip"",""--results_root"",""<new-results-root>""]"
exact_expanded_network,exact_pricer,,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot,True,3,7200,,,new-replicate-1 | new-replicate-2 | new-replicate-3,"pricing certification, explicit wall limit, and marginal-return stall retained as separate terminal outcomes","300 kWh, 300 kW, zero reserve, 15 kWh SOC grid, 10-minute blocks, flat tariff where supported; any pricing-graph/model difference remains an isolated method factor",True,False,resolve hash-bound instance/output paths before execution,"[""python"",""-u"",""src/exact_pricer_expanded.py"",""--csv"",""<hash-bound-instance.csv>"",""--prices_csv"",""hourly_prices_flat.csv"",""--soc-step"",""15"",""--block-min"",""10"",""--g-kwh"",""300"",""--charge-kw"",""300"",""--min-soc-frac"",""0"",""--stall-window-min"",""30"",""--stall-rc-frac"",""0.05"",""--stall-obj-frac"",""1e-5"",""--wall-limit-s"",""7200"",""--out"",""<new-exact-output.json>""]"
mip_finite_pool,two_stage_pool_mip,RAW,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot,True,3,7200,,,new-replicate-1 | new-replicate-2 | new-replicate-3,two-stage finite-pool proof or explicit time limit; retain incumbent and bound checkpoints,"300 kWh, 300 kW, zero reserve, 15 kWh SOC grid, 10-minute blocks, flat tariff where supported; any pricing-graph/model difference remains an isolated method factor",True,False,"regenerate an unblocked reviewed plan with exact scale, treatment, starts and approved budget","[""python"",""-u"",""src/launch_mip_statistics_campaign.py"",""--mode"",""pilot"",""--campaign"",""<new-review-campaign>"",""--plan-out"",""<new-plan.json>""]"
mip_finite_pool,two_stage_pool_mip,MATCHING,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot,True,3,7200,,,new-replicate-1 | new-replicate-2 | new-replicate-3,two-stage finite-pool proof or explicit time limit; retain incumbent and bound checkpoints,"300 kWh, 300 kW, zero reserve, 15 kWh SOC grid, 10-minute blocks, flat tariff where supported; any pricing-graph/model difference remains an isolated method factor",True,False,"regenerate an unblocked reviewed plan with exact scale, treatment, starts and approved budget","[""python"",""-u"",""src/launch_mip_statistics_campaign.py"",""--mode"",""pilot"",""--campaign"",""<new-review-campaign>"",""--plan-out"",""<new-plan.json>""]"
mip_finite_pool,two_stage_pool_mip,GIRO,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot,True,3,7200,,,new-replicate-1 | new-replicate-2 | new-replicate-3,two-stage finite-pool proof or explicit time limit; retain incumbent and bound checkpoints,"300 kWh, 300 kW, zero reserve, 15 kWh SOC grid, 10-minute blocks, flat tariff where supported; any pricing-graph/model difference remains an isolated method factor",True,False,"regenerate an unblocked reviewed plan with exact scale, treatment, starts and approved budget","[""python"",""-u"",""src/launch_mip_statistics_campaign.py"",""--mode"",""pilot"",""--campaign"",""<new-review-campaign>"",""--plan-out"",""<new-plan.json>""]"
heuristic_dp_historical,legacy_dp,,single,single,small,single-single,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot,True,3,7200,,,new-replicate-1 | new-replicate-2 | new-replicate-3,active-time budget plus declared marginal-return/label-cap rules; restricted-pricing certification labeled separately,"300 kWh, 300 kW, zero reserve, 15 kWh SOC grid, 10-minute blocks, flat tariff where supported; any pricing-graph/model difference remains an isolated method factor",True,False,historical implementation/model is not available,"[""UNAVAILABLE"",""historical implementation/model must be isolated or archived""]"
heuristic_dp_current,instrumented_dp,,single,single,small,single-single,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot,True,3,7200,,,new-replicate-1 | new-replicate-2 | new-replicate-3,active-time budget plus declared marginal-return/label-cap rules; restricted-pricing certification labeled separately,"300 kWh, 300 kW, zero reserve, 15 kWh SOC grid, 10-minute blocks, flat tariff where supported; any pricing-graph/model difference remains an isolated method factor",True,False,resolve declared queue/dominance and hash-bound paths,"[""python"",""-u"",""src/run_ex_unicorn.py"",""--csv"",""<hash-bound-instance.csv>"",""--G"",""300"",""--prices_csv"",""hourly_prices_flat.csv"",""--queue_order"",""<declared>"",""--dominance_mode"",""<declared>"",""--active_time_limit_hours"",""2"",""--skip_final_mip"",""--results_root"",""<new-results-root>""]"
exact_expanded_network,exact_pricer,,single,single,small,single-single,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot,True,3,7200,,,new-replicate-1 | new-replicate-2 | new-replicate-3,"pricing certification, explicit wall limit, and marginal-return stall retained as separate terminal outcomes","300 kWh, 300 kW, zero reserve, 15 kWh SOC grid, 10-minute blocks, flat tariff where supported; any pricing-graph/model difference remains an isolated method factor",True,False,resolve hash-bound instance/output paths before execution,"[""python"",""-u"",""src/exact_pricer_expanded.py"",""--csv"",""<hash-bound-instance.csv>"",""--prices_csv"",""hourly_prices_flat.csv"",""--soc-step"",""15"",""--block-min"",""10"",""--g-kwh"",""300"",""--charge-kw"",""300"",""--min-soc-frac"",""0"",""--stall-window-min"",""30"",""--stall-rc-frac"",""0.05"",""--stall-obj-frac"",""1e-5"",""--wall-limit-s"",""7200"",""--out"",""<new-exact-output.json>""]"
mip_finite_pool,two_stage_pool_mip,RAW,single,single,small,single-single,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot,True,3,7200,,,new-replicate-1 | new-replicate-2 | new-replicate-3,two-stage finite-pool proof or explicit time limit; retain incumbent and bound checkpoints,"300 kWh, 300 kW, zero reserve, 15 kWh SOC grid, 10-minute blocks, flat tariff where supported; any pricing-graph/model difference remains an isolated method factor",True,False,"regenerate an unblocked reviewed plan with exact scale, treatment, starts and approved budget","[""python"",""-u"",""src/launch_mip_statistics_campaign.py"",""--mode"",""pilot"",""--campaign"",""<new-review-campaign>"",""--plan-out"",""<new-plan.json>""]"
