case_id,duty,arm,cg_minutes,cg_certified,cg_stop,weighted_lp_objective,fractional_route_weight,buses,pool_fleet_bound,pool_fleet_proved,charging_cost,capacity_enforced,capacity_audit,cg_path,cg_sha256,mip_path,mip_sha256
k1_13405_flat_236p44r15_baseline,13405,baseline,6.019368783582467,True,exact_nonnegative_reduced_cost,109177.58399999996,1.0909090909090906,2,2.0,True,71.08799999998882,False,True,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13405_flat_236p44r15_baseline/207726_r0/cg.json,5776a566e2435b7be5b09eef10c629f8313ee1afd6764c4cea1280043e234222,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13405_flat_236p44r15_baseline/207726_r0/mip.json,7f16f892302370bb6bb36aa2a2b0d5bc8dda4c37f279f5f8888053daf53f5f1f
k1_13405_flat_236p44r15_parx60,13405,parx60,8.638269995769951,True,exact_nonnegative_reduced_cost,109177.6065454545,1.0909090909090906,2,2.0,True,61.95200000000477,False,True,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13405_flat_236p44r15_parx60/207727_r0/cg.json,6f7fa5fe5f8cae7487caa24123c319b6dc8e6403b967d574fd446f314570b178,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13405_flat_236p44r15_parx60/207727_r0/mip.json,51ba99891b8a1f39d8f002b59800bfb2f3086824e71df7d9eb160efa621fd5b4
k1_13406_flat_236p44r15_baseline,13406,baseline,8.122814050266363,True,exact_nonnegative_reduced_cost,100065.672,1.0,1,1.0,True,65.67200000000594,False,True,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13406_flat_236p44r15_baseline/207728_r0/cg.json,542ac24ea7d078c05051d9875d8038cbbbb05f55e7d3164366368b4eb7f5287c,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13406_flat_236p44r15_baseline/207728_r0/mip.json,d9d3792de2821a104564e0ff75acbd14bfc49408299dddec9dec4b725cb528c8
k1_13406_flat_236p44r15_parx60,13406,parx60,11.106315932702273,True,exact_nonnegative_reduced_cost,100065.672,1.0,1,1.0,True,65.67200000000594,False,True,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13406_flat_236p44r15_parx60/207729_r0/cg.json,dff5e5e70721bf17ed503782faa255c6cdf5c5bc3573225f5490875e00830492,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13406_flat_236p44r15_parx60/207729_r0/mip.json,e54a3b5eff90cbc2259b68297c1837aa04b44da4aefe470b61bc40beda16edbc
k1_13407_flat_236p44r15_baseline,13407,baseline,15.327522527434242,True,exact_nonnegative_reduced_cost,100095.304,1.0,1,1.0,True,95.30400000000373,False,True,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13407_flat_236p44r15_baseline/207730_r0/cg.json,a6a854a3f7dd1615385ccfff0375efeef49a2d4c7c671703e523320fae0c019a,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13407_flat_236p44r15_baseline/207730_r0/mip.json,01fbdea74914a5a7f91a17e8189d4650883e5370d16acb8fd1a10c461ef28d90
k1_13407_flat_236p44r15_parx60,13407,parx60,,,,,,,,,,,,,,,
k1_13408_flat_236p44r15_baseline,13408,baseline,2.169165562745184,True,exact_nonnegative_reduced_cost,100045.256,1.0,1,1.0,True,45.255999999993946,False,True,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13408_flat_236p44r15_baseline/207732_r0/cg.json,e039d67a11465c3a062fed3461bb4b7cf152e33268c3f90e4b97ad7b5cca58b4,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13408_flat_236p44r15_baseline/207732_r0/mip.json,be4cd960c93220827938d9c7e22591374bda444318bf7f3d2dd81264ff43c702
k1_13408_flat_236p44r15_parx60,13408,parx60,3.050733236867624,True,exact_nonnegative_reduced_cost,100045.256,1.0,1,1.0,True,45.255999999993946,False,True,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13408_flat_236p44r15_parx60/207733_r0/cg.json,3cb043bc6ca3c20a3f581073c0429689c90b4d63d795cfd23e54cef2fa23e7c2,/home/nc437/ladder-lite/reserve_feasibility_screen_20260914/results/k1_13408_flat_236p44r15_parx60/207733_r0/mip.json,d983ba5360397180974ccc0fe62950a93321cfc464dfde6d87de50b64e1e91b9
k1_13408_flat_236p44r15_capacity,13408,capacity,,,,,,,,,,,,,,,
k1_13408_flat_236p44r15_combined,13408,combined,,,,,,,,,,,,,,,
